"Date Made Public","Name","Entity","Type","Street Address","Location",", ","Postal Code","Total Records","Records Breached","","","","","Attached files","","All terms"
"December 22, 2012","Office of Dr. James M. McGee","MED","PHYS","","Stone Mountain","Georgia","","","1,306 (No SSNs or financial information reported)","","The September 19 theft of paper records may have resulted in the exposure of dental patient information.  ","","HHS via PHIPrivacy.net","","","2012"
"December 22, 2012","Robbins Eye Center","MED","UNKN","","Bridgeport","Connecticut","","","1,749 (No SSNs or financial information reported)","","The data of 1,749 patients was stolen during an October 7 incident.  ","","HHS via PHIPrivacy.net","","","2012"
"December 22, 2012","Vidant Pungo Hospital","MED","PHYS","","Belhaven","North Carolina","","","1,100 (No SSNs or financial information reported)","","Paper jackets that held radiology films were thrown away with office trash instead of being properly discarded.  The paper jackets contained names, addresses, dates of birth, ages, sex, race, and information on dates and names of radiology procedures prior to May of 2012.  The paper jackets are believed to have been picked up by a sanitation company and discarded in a landfill.","","HHS via PHIPrivacy.net","","","2012"
"December 22, 2012","Brigham and Women's Hospital","MED","STAT","","Boston","Massachusetts","","615","615 (No SSNs or financial information reported)","","The October 16 theft of a desktop computer may have resulted in the exposure of patient information.UPDATE (12/28/2012): The computer was stolen from the Brigham and Women's Hospital office.  Medical record numbers, age, medications, laboratory values and other clinical information may have been on the computer.  Up to 615 people may have been affected by the theft.","","HHS via PHIPrivacy.net","","615","2012"
"December 21, 2012","The Children's Center","MED","PHYS","","Ammon","Idaho","","","Unknown","","An employee of Grand Teton Storage removed documents from The Children's Center's storage facility after they failed to pay storage bills.  A concerned citizen found seven boxes of the old medical records and other personal information next to a dumpster.  The information was seven to eight years old and included names, Social Security numbers, addresses, dates of birth, and payroll information.  A Grand Teton Storage employee acknowledged that a mistake had been made and the employee who improperly disposed of the records will face disciplinary action.  Idaho Department of Health and Welfare eventually recovered and secured the records.","","PHIPrivacy.net","","","2012"
"December 21, 2012","CCS Medical","MED","INSD","","Savannah","Georgia","","23","6,601 (23 people confirmed affected)","The breach occurred in Florida and the location listed is that of CCS Medical's headquarters.","An employee reported that another employee appeared to have been misusing patient information.  The dishonest employee may have accessed, recorded, and disclosed Social Security numbers and other personal information for the purpose of obtaining fraudulent tax returns.  The employee was reported on September 20 and the possibility that the employee had engaged in dishonest behavior was confirmed on October 17.  Patient information that was maintained by CCS Medical between May 1, and September 21, 2012 may have been accessed.  Notifications were sent to patients on December 7, 2012.  At least 23 New Hampshire residents may have been affected.  The total number of affected patients nationwide was not reported.UPDATE (10/1/2013): A total of 6,601 people may have been affected.","","PHIPrivacy.net","","23","2012"
"December 17, 2012","EZ Step","MED","INSD","","San Jose","California","","","Unknown","","The owner of EZ Step and an employee were both charged with conspiracy to commit health care fraud.  They were also charged on multiple counts of health care fraud.  The charges come from allegations that the two people sought reimbursement by forging physician signatures, fabricating prescriptions and equipment orders, forging patient signatures on delivery forms to misrepresent prescription medication and durable equipment deliveries, and altering valid prescriptions between 2005 and 2007.  Arrests were first made in July of 2011.","","PHIPrivacy.net","","","2012"
"December 21, 2012","Skagit Valley Casino Resort, Bally Technologies Inc.","BSR","PORT","","Las Vegas","Nevada","","","Unknown","","An electronic device was stolen from the home office of an employee of Bally Technologies.  The electronic equipment contained names, Social Security numbers, driver's license numbers, and bank account information.  The equipment may have been stolen for its resell value rather than the value of the information.","","California Attorney General","","","2012"
"December 24, 2012","State of California Department of Health Care Services (DHCS)","MED","DISC","","Sacramento","California","","","Unknown","Those who were affected may call DHCS at (855) 297-5064.","Beneficiary Identification Cards (BICs) were mailed to the wrong recipients between December 10 and December 18.  A computer programming error caused the BICs of children being moved from Healthy Families program enrollment to Medi-Cal enrollment to be sent to households of other Medi-Cal and Healthy Families participants.  Names, Client Index Numbers, dates of birth, genders, and card issue dates were exposed.  People who received incorrect cards were instructed to return them.  Stamped envelopes that were addressed to DHCS were sent out with breach notifications. ","","California Attorney General","","","2012"
"December 28, 2012","East San Gabriel Valley Regional Occupational Program and Technical Center","GOV","DISC","","West Covina","California","","","Unknown","","A sensitive document was accidentally attached to an email that was sent to students.  The attachment contained names, Social Security numbers, dates of birth, student attendance information, and information regarding their program.  The email was intended to inform students about open positions.","","California Attorney General","","","2012"
"December 31, 2012","Sunview Vineyards Of California, Inc.","BSR","PORT","","Delano","California","","","Unknown","","An office theft of an unencrypted laptop on or around December 15 resulted in the exposure of confidential personal information.  The laptop contained an Excel spreadsheet with workers' compensation information such as names, Social Security numbers, telephone numbers, and other workers' compensation claim or injury information.","","California Attorney General","","","2012"
"January 2, 2013","Rosenthal Collins Group","BSF","HACK","","Chicago","Illinois","","","Unknown","Anyone who suspects they were a victim of identity theft because of this incident should report it to Rosenthal Collins Group at creditprotection@rcgdirect.com.","An unauthorized intrusion was detected on the morning of Tuesday November 27.  The unauthorized access began on November 26 and access to the breached web application was immediately shut down upon discovery.  Customers who completed Rosenthal Collins Group account forms online may have had their names, Social Security numbers, addresses, dates of birth, range of net worth and income, bank names, passwords for accessing the web application, and email addresses exposed.","","California Attorney General","","","2013"
"January 3, 2013","Mission Hospital, St. Joseph Health","MED","PORT","","Mission Laguna Beach","California","","","Unknown","","Someone called Mission Hospital on August 28, 2012 and claimed that he found a flash drive with sensitive patient information in his garage.  The flash drive was returned to Mission Hospital via mailed envelope on September 11, 2012.  Patients who received services at Mission Hospital between September and November of 2008 may have had their information exposed. The notice that was sent to patients was dated September 14, 2012.  It appears that a contractor or employee misplaced the unencrypted flash drive.The flash drive contained names, medical record numbers, and account numbers. Additionally, the flash drive may have contained some combination of date of admission, age, birth date, vital readings, physical examination, gender, race, name of physician, medical history, past and current treatment and illnesses, history of substance use, family history, lab tests and results, imaging tests and results, body weight, physician notes on patient, care plan, employment status and employer, prognosis, diagnosis, treatment recommendations, allergies, medications, comments about patient's appearance, patient health complaint, symptoms, reason for referral, and reason for admission information.","","PHIPrivacy.net","","","2013"
"March 28, 2013","MedStar Good Samaritan Nursing Center, Mid America Health, Inc. (MAH)","MED","PHYS","","Baltimore","Maryland","","3","18 (Three Social Security Numbers reported)","","A paper file was stolen from the car of a dental assistant who was treating residents at the MedStar Good Samaritan Nursing Center.  The file contained names, dates of birth, medical and dental evaluation information, medical and dental providers' names and license numbers, and the Social Security numbers of three residents.","","PHIPrivacy.net","","3","2013"
"January 3, 2013","King Drug & Home Care","MED","PORT","","Owensboro","Kentucky","","13,619","13,619","","An employee reported that a portable hard drive was missing on November 23, 2010.  The device had last been seen sometime around November 19.  The data on the device included information from before July 31, 2009.  Client names, Social Security numbers, medical record numbers, account numbers, dates of service, race, insurance carriers and insurance numbers, addresses, phone numbers, sex, dates of birth, diagnosis information, allergies, initial referral forms, patient assessments/plans of care, physician orders and/or delivery ticket information may have been on the hard drive.","","PHIPrivacy.net","","13619","2013"
"January 2, 2013","Hospice of North Idaho (HONI)","MED","PORT","","Hayden","Idaho","","","441 (No SSNs or financial information reported)","Read the full agreement between HHS and HONI here: http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/honi-agreement.pdf","The June 2010 theft of an unencrypted laptop from an employee's car resulted in the exposure of patient information.  The HHS Office for Civil Rights investigated the breach and found that HONI had not conducted a risk analysis to safeguard electronic protected health information.  It was also discovered that HONI did not meet a HIPAA Security Rule that required them to have policies or procedures in place to address mobile device security.  HONI agreed to pay the U.S. Department of Health and Human Services' (HHS) $50,000 regarding potential Health Insurance Portability and Accountability Act of 1996 Security Rule violations.  HONI also began taking extensive steps to improve their HIPAA Privacy and Security compliance program since the June 2010 breach.","","PHIPrivacy.net","","","2013"
"January 4, 2013","Reyes Beverage Group","BSR","DISC","","Rosemont","Illinois","","","Unknown","Those with questions may call Reyes Holdings Ethics Hotline at (888) 295-6392 or email ethicshotline@reyesholdings.com","A report containing the names and Social Security numbers of a group of Reyes Beverage Group's California employees was accidentally sent to the personal email address of an employee of Reinhart Foodservice.  Reinhart Foodservice is a Reyes Holdings company as well.  It is unclear how the email was accidentally sent and why it ended up in the personal email of an employee at a different division.","","California Attorney General","","","2013"
"January 4, 2013","Healing Hearts","MED","INSD","","Jacksonville","North Carolina","","","Unknown","","The owner of a group of childcare services pleaded guilty to defrauding Medicaid of $8 million.  She and a co-defendant targeted medicaid recipients in order to enroll them in a program and make fraudulent Medicaid claims for mental and behavioral health services.  Additionally, the owner pleaded guilty to misusing at least one therapist's credentials in order to make the claims for mental and behavioral health services.  The scheme took place between 2008 and 2012.","","California Attorney General","","","2013"
"December 28, 2012","Gibson General Hospital","MED","PORT","","Princeton","Indiana","","29,000","29,000","","The November 27 theft of a laptop may have resulted in the exposure of patient information.  Names, Social Security numbers, addresses, and clinical information may have been exposed.  Patients who have received services since 2007 may have been affected.","","PHIPrivacy.net","","29000","2012"
"December 28, 2012","Carewise Health, Hewlett-Packard Enterprise Services","MED","HACK","","Louisville","Kentucky","","","1,090 (unknown number of SSNs)","","An employee responded to a telephone computer phishing scam.  The person was employed by a subcontractor of Hewlett-Packard Enterprise Services (HP ES) named Carewise Health.  Unauthorized users were able to remotely access a database of Medicaid client information as a result of the phishing attempt.  Eventually HP ES and Carewise Health were able to disable the laptop and notify the Cabinet for Health and Family Services of the breach.UPDATE (01/02/2013): The employee revealed information to the hacker in mid-November.","","PHIPrivacy.net","","","2012"
"December 26, 2012","Integris Health","MED","HACK","","Oklahoma City","Oklahoma","","","Unknown","","A team of cyber security consultants discovered vulnerabilities in the Omnicell web system.  Unauthorized users could gain control of certain hospital operations run by Integris Health.  The issue was immediately addressed by Omnicell.","","PHIPrivacy.net","","","2012"
"December 4, 2012","First Step Counseling, Inc.","MED","PHYS","","Metuchen","New Jersey","","","638 (No SSNs or financial information reported)","","An unauthorized disclosure of paper records may have exposed patient information.  The breach may have taken place between May 1, 2011 and August 5, 2011.  It was discovered or reported on November 16 of 2012.","","HHS via PHIPrivacy.net","","","2012"
"December 4, 2012","CVS Caremark","MED","PHYS","","Woonsocket","Rhode Island","","","955 (No SSNs or financial information reported)","","The theft of paper records may have resulted in the exposure of patient information.  The theft may have occurred on August 13, 2012 and was reported or discovered on November 16, 2012.","","HHS via PHIPrivacy.net","","","2012"
"November 27, 2012","Sourcefire","BSO","PORT","","Columbia","Maryland","","500","500","","The November 6 theft of an unencrypted laptop may have resulted in the exposure of employee Social security numbers.  It is unclear if other types of information were also exposed.  A total of 500 employees may have been affected.  ","","Media","","500","2012"
"January 10, 2013","City of Macon Georgia","GOV","STAT","","Macon","Georgia","","","Unknown","","A computer repair shop bought used computers on govdeals.com in 2011.  The computers were found to have information from city employees when they were removed from storage on January 5.  Social Security numbers, pension information, and other personal information from Macon police officers were on the computers.  Information from local businesses that was used for city purposes was also on the computers.  A total of 39 hard drives, two servers, and two CPUs were purchased and may have contained sensitive information.","","Databreaches.net","","","2013"
"January 10, 2013","KTSU Texas Southern University","EDU","INSD","","Houston","Texas","","","Unknown","","Texas Southern University's radio station KTSU gave a volunteer position to a person with a criminal history of credit card fraud.  The volunteer was later arrested for allegedly using the radio station's donation drive to steal credit card information.  The dishonest volunteer faces up to 300 counts of credit card fraud for attempting to misuse the information on donor pledge sheets.","","Databreaches.net","","","2013"
"January 8, 2013","Morgan Road Middle School","EDU","PORT","","Hephzibah","Georgia","","","Unknown","","An unencrypted flash drive was stolen from a teacher's car.  It contained student Social Security numbers and other information.  ","","Databreaches.net","","","2013"
"January 8, 2013","Charlotte-Mecklenburg Schools","EDU","PHYS","","Charlotte","North Carolina","","80","80","","An employee working in human resources was robbed while transporting information between school districts.  The employee stopped for lunch and discovered that personnel files containing names, Social Security numbers, addresses, dates of birth, and driver's license numbers had been stolen from their car.","","Databreaches.net","","80","2013"
"January 6, 2013","Oldcastle APG, Inc.","BSR","PORT","","Atlanta","Georgia","","5,083","5,083","","A laptop was stolen from an employee's car on or around December 10.  APG employees may have had their names, Social Security numbers, bank account information, and other information exposed.  ","","Databreaches.net","","5083","2013"
"December 21, 2012","Fairfax High School","EDU","HACK","","Fairfax","Virginia","","","Unknown","","Fairfax County Public Schools discovered that student names, ID numbers, grades, and other information were posted online.  Students enrolled in 9th, 10th, and 11th grade were affected.  The information may have only been available for a day before Fairfax County Public Schools began the process of removing it from online.  ","","Databreaches.net","","","2012"
"December 7, 2012","Rock Bottom Auto Sales","BSR","PHYS","","Hudson","Florida","","","Unknown","","At least eight garbage bags that were left unattended on a dirt road contained sensitive documents.  A woman found the bags and reported the issue to a local news team.  The paperwork included credit applications with names, driver's license information, and Social Security numbers.  ","","Databreaches.net","","","2012"
"November 27, 2012","Pulaski Bank","BSF","PHYS","","Overland Park","Kansas","","","Unknown","","An employee left sensitive loan application documents in a vehicle while at the gym.  The documents were stolen and included loan applicant tax returns. The breach occurred in September.","","Databreaches.net","","","2012"
"November 22, 2012","Scripps College","EDU","PHYS","","Anaheim","California","","","940 (No SSNs or financial information reported)","Scripps College is located in Claremont, California and the theft took place in Anaheim, California.","Sensitive records were stolen from a tote bag in a staff member's vehicle on the night of November 18.  The records included names, dates of birth, cell phone numbers, email addresses, and emergency contact information.","","Databreaches.net","","","2012"
"October 19, 2012","The College of St. Scholastica","EDU","HACK","","Duluth","Minnesota","","","28 (No SSNs or financial information exposed)","","Hackers were able to guess the answers to student account challenge questions.  The email account passwords of at least 28 students were reset and their account information was most likely accessed. The hackers may have been based in Beijing and most likely gathered the information needed to pass the challenge questions from information on the students' Facebook pages.","","Databreaches.net","","","2012"
"January 7, 2013","Centric Group, LLC","BSR","UNKN","","St. Louis","Missouri","","","Unknown","It is not clear if this breach is related to the August 2010 theft of a laptop from Centric Software in Campbell, California.Those with questions may call 1-800-416-4601.","Anyone who purchased items on www.accesscatalog.com using a credit card may have been affected by a breach that began in August 2010.  An unauthorized party may have obtained names, credit or debit card numbers, expiration dates, and payment card verification codes.  Centric Group learned of the incident on or around December 13, 2012.","","California Attorney General","","","2013"
"January 7, 2013","Office of Dr. Calvin L. Schuster","MED","STAT","","Reedley","California","","","532 (No SSNs or financial information reported)","Those with questions may call Dr. Schuster's office at 1-855-638-1443.","A computer was stolen during an office burglary that occurred sometime around November 5, 2012.  The computer contained patient names, dates of birth, and a minimal amount of patient medical information.","","California Attorney General","","","2013"
"January 11, 2013","EJ Phair Brewing Company and Alehouse","BSR","HACK","","Concord","California","","","Unknown","","Customers who used credit or debit cards at EJ Phair discovered fraudulent chargers on their payment cards.  A hacker or hackers managed to access and misuse payment card numbers once they ran through EJ Phair's system.  It appears that customers who used cards at the location between September and late November of 2012 may have been affected.","","California Attorney General","","","2013"
"August 14, 2012","Creative Croissants","BSR","UNKN","","San Jose","California","","","Unknown","","A breach at Creative Croissants results in the exposure of customer credit card information.  It is unclear how the breach occurred and the date of the breach was March 2, 2012.","","California Attorney General","","","2012"
"January 10, 2013","Office of Dr. Sandra Bujanda-Wagner","MED","PHYS","","Aurora","Colorado","","","Unknown","","Employees accidentally threw out hundreds of patient records.  The dental records were found by someone looking through a dumpster and the incident was reported to a local news team.  Names, Social Security numbers, dates of birth and addresses were exposed. Employees from Bujanda-Wagner's office came to recover the documents.","","PHIPrivacy.net","","","2013"
"January 8, 2013","Texas Department of Health and Human Services","MED","INSD","","Austin","Texas","","","Unknown","","A dishonest employee was arrested on suspicion of misusing client information to apply for credit cards.  The dishonest employee was able to pose as different clients seeking immunizations and other services.  She was charged with fraudulent use or possession of identifying information and credit card abuse.  UPDATE (01/31/2013): The employee was working for the Northeast Texas Public Health district when she was arrested for stealing the identities of patients at a clinic in Mount Pleasant.  She began working in the Texas Department of State Health Services clinic in 2008.","","PHIPrivacy.net","","","2013"
"January 7, 2013","Woodwinds Hospital","MED","INSD","","Woodbury","Minnesota","","","Unknown","","An employee kept 200 pages of confidential information in an effort to prove that Woodwinds Hospital was trying to conceal evidence of medical misconduct.  The employee was discharged in 2010 for reasons unrelated to removing the information.  She claims to have taken them home after being ordered to destroy any information related to incidents that could damage Woodwinds Hospital's reputation.","","PHIPrivacy.net","","","2013"
"December 21, 2012","Workers United","BSO","PORT","","New York","New York","","","Unknown","","The theft of a hard drive from the office of an unnamed independent contractor resulted in the exposure of sensitive information.  The theft occurred on either October 13 or 14 of 2012 and Workers United learned of the issue on October 25.  A database with former Workers United member names and Social Security numbers was on the hard drive.","","Databreaches.net","","","2012"
"December 29, 2012","US Army Fort Monmouth","GOV","HACK","","Oceanport","New Jersey","","36,000","36,000","Those with questions may call (443) 861-6571.","Hackers were able to access database information from Command, Control, Communications, Intelligence, Surveillance and Reconnaissance as well as nongovernmental personnel and people who visited Fort Monmouth.  The breach was discovered and addressed on December 6.  names, Social Security numbers, dates of birth, places of birth, home addresses, and salaries were exposed.","","Media","","36000","2012"
"January 17, 2013","St. Mark's Medical Center","MED","HACK","","La Grange","Texas","","2,988","2,988","","An employee's computer was found to contain malware.  The malware infection began on May 21, 2012 and was discovered on November 15, 2012.  Files stored on the computer contained billing information with patient names, Social Security numbers, account numbers, medical record numbers, dates of birth, gender, treatment dates, insurance provider names, and account balances.","","PHIPrivacy.net","","2988","2013"
"January 18, 2013","Stanford School of Medicine, Lucile Packard Children's Hospital","MED","PORT","","Palo Alto","California","","","Unknown","Those with questions may call 1-855-731-6016.","The January 9 theft of a laptop from a physician's car may have exposed sensitive information.  The laptop may have contained some combination of patient names, dates of birth, and contact information.UPDATE (01/22/2013): A total of 57,000 patients are being notified. Medical information and medical record numbers were exposed.  A limited number of patients had their contact information exposed.  Most of the information on the laptop was from 2009.","","California Attorney General","","","2013"
"January 22, 2013","NECA/IBEW Family Medical Care Plan","MED","DISC","","Rockville","Maryland","","","Unknown","","NECA/IBEM Family Medical Care Plan (FMCP) participants received disclosure documents related to benefits coverage and modifications.  The outside of the envelopes in which the documents arrived displayed participant Social Security numbers.","","California Attorney General","","","2013"
"January 26, 2013","Wilton Brands LLC, www.wilton.com","BSR","HACK","","Woodridge","Illinois","","","Unknown","","Customers who made purchases on www.wilton.com between October 8, 2012 and January 8, 2013 may have had their credit or debit card information exposed.  A Wilton service provider discovered the issue on or around January 8, 2013.  A malicious user accessed the website information and payment card numbers, expiration dates, and security codes may have been exposed.  Customer names, addresses, and telephone numbers are also at risk.This incident is in addition to the hacking incident that took place between July and October of 2012.  That incident was reported on December 12, 2012.","","California Attorney General","","","2013"
"January 24, 2013","Brentwood Primary Care Clinic","MED","INSD","","Jacksonville","Florida","","261","261","","A dishonest intern was caught using a cell phone to illegally photograph patient Social Security numbers and names.  The photos were then sent to another person; presumably for fraudulent activity.  The office intern was charged with fraudulent use of personal identification information. It is unclear when the breach was discovered since the photos were taken between May 7 and June 19.","","PHIPrivacy.net","","261","2013"
"January 24, 2013","Eastern Illinois University","EDU","DISC","","Charleston","Illinois","","","430 (No SSNs or financial information reported)","","At least 65 students received information about the grade point average of 430 students during early January 2013.  The breach occurred when a spreadsheet that contained the information and the E-number of 430 students was accidentally made available online.  ","","Databreaches.net","","","2013"
"January 12, 2013","Zaxby's","BSR","HACK","","Athens","Georgia","","","Unknown","","Over 108 Zaxby's restaurants experienced a breach related to customer credit and debit cards.  A number of people experienced credit card fraud and an investigation led to Zaxby's as a common point of purchase.  Suspicious files were found on Zaxby's system during the subsequent investigation.  ","","Databreaches.net","","","2013"
"January 12, 2013","Florida Department of Juvenile Justice","GOV","PORT","","Tallahassee","Florida","","","100,000 (No SSNs or financial information reported)","A press release can be found here: http://www.djj.state.fl.us/news/press-releases/press-release-detail/2013/01/11/information-security-breach-reported-at-djj","A mobile device that contained both youth and employee records was reported stolen on January 2, 2013.  Over 100,000 records were on the device and may have been exposed.  The device was taken from a Department of Juvenile Justice office and was neither encrypted nor password-protected.  Department of Juvenile Justice policy requires such devices to be encrypted.","","Databreaches.net","","","2013"
"January 12, 2013","Florida Department of Juvenile Justice","MED","STAT","","Tallahassee","Florida","","","100,000 (No SSNs or financial information reported)","","On September 6, 2012 it was reported that three computers that contained information from the Florida Department of Juvenile Justice were stolen from an apartment site earlier in the week.  A television was also taken at the time of the theft.UPDATE (01/12/2013): At least one of the devices was neither encrypted nor password protected and held the personal information of over 100,000 youth and employees.","","Databreaches.net","","","2013"
"January 28, 2013","RR Donnelley, UnitedHealthcare, Boy Scouts of America","MED","STAT","","Chicago","Illinois","","8,911","8,911","UnitedHealthcare has established a hotline for those with questions: 1-866-896-4209.","An unencrypted desktop computer was stolen from an RR Donnelley facility sometime between mid September and the end of November, 2012.  RR Donnelley is a vendor of UnitedHealthcare.  It is unclear why the breach was not noticed until December 3, 2012.  The stolen computer contained UnitedHealthcare member information that was related to participation in the Boy Scouts of America 2003 health benefit plan.  Names, Social Security numbers, and addresses may have been exposed.UPDATE (10/01/2013): A total of 8,911 Boy Scouts of America Employee Benefit Plan participants were notified of the breach.","","California Attorney General","","8911","2013"
"January 29, 2013","North Los Angeles County Regional Center (NLACRC)","MED","PORT","","Van Nuys","California","","","Unknown","","The November 13, 2012 theft of a laptop resulted in the exposure of consumer information.  Names, addresses, phone numbers, dates of birth, residential information, and medical information may have been exposed.","","California Attorney General","","","2013"
"January 28, 2013","Walz and Associates Law Firm","BSO","PHYS","","Albuquerque","New Mexico","","","Unknown","","A concerned citizen found hundreds of documents in a recycling center and notified a local news team.  The documents included criminal histories, depositions, medical records, personal phone numbers, and addresses.  Most were from the 1990's.  Most or all of the information did not need to be shredded because it was considered public record.  The local news team contacted a director from the solid waste division and the documents were removed for shredding.","","PHIPrivacy.net","","","2013"
"January 28, 2013","Cbr Systems","MED","PORT","","San Bruno","California","","300,000","300,000","","The 2010 theft of a company laptop, a hard drive, and a number of unencrypted backup tapes resulted in the exposure of sensitive information.  Social security numbers, credit and debit card numbers, driver's license numbers, and dates of birth were contained on one or more of the devices.Cbr Systems reached a settlement with the Federal Trade Commission in early 2013.  Cbr Systems must establish an information security program and be independently audited every other year for 20 years.  The full settlement can be found here: http://ftc.gov/opa/2013/01/cbr.shtm","","Media","","300000","2013"
"January 29, 2013","Stethescope.com","BSR","HACK","","Natick","Massachusetts","","","Unknown","Those with questions may call (877) 288-8057.","A hacker accessed the webserver used to host stethoscope.com on December 3.  The breach was discovered in mid-December during routine server maintenance.  Customer names, addresses, email addresses, and credit card information such as numbers, expiration dates, and security codes may have been exposed.","","California Attorney General","","","2013"
"February 1, 2013","Antioch Unified School District","EDU","DISC","","Antioch","California","","","Unknown","","A document with sensitive Worker's Compensation claim information was accidentally sent out with an email to a limited number of Antioch Unified School District employees.  Social Security numbers and other information related to current and former employees that reported injuries were exposed.  The incident occurred on January 18 and people who received the email were instructed to remove and destroy any saved information contain in the email. Those who received the email were also instructed to provide written verification that they had removed and destroyed the information.","","California Attorney General","","","2013"
"February 2, 2013","River Falls Medical Clinic","MED","PHYS","","River Falls","Wisconsin","","","2,400 (unknown number of SSNs)","","River Falls Medical Clinic officials reported a burglary during the summer of 2012.  The equipment and paper documents that were stolen were recovered by police on November 28.  An employee of a cleaning service that subcontracted with the Clinic is the main suspect.  The items were found in the employee's home and he was charged with felonies associated with theft and drug possession.  It is believed that the documents were intended to be shredded.  They contained patient names, dates of birth, patient account and billing account information, diagnosis codes, insurance information, account numbers, medical chart numbers, and scheduling information.  An unspecified number of patients also had their Social Security numbers, home addresses, and phone numbers exposed.","","PHIPrivacy.net","","","2013"
"February 1, 2013","Tallahassee Memorial HealthCare","MED","INSD","","Tallahassee","Florida","","124","124","","A former Tallahassee Memorial HealthCare food service employee was indicted on 31 counts of filing false tax returns, wire fraud, false claims, and aggravated identity theft.  He and two others are believed to have participated in a conspiracy that led to $818,000 in fraudulent claims.  The employee worked for Tallahassee Memorial HealthCare for three years.  He gathered patient names and dates of birth from food tray receipts when he delivered food to the rooms of patients in August of 2011 and stole emergency room data sheets from the trash. The information was then passed to the two others who participated in the conspiracy.","","PHIPrivacy.net","","124","2013"
"February 1, 2013","Central Laborers' Pension Fund, Central Laborers' Welfare Fund, Central Laborers' Annuity Fund","BSF","PORT","","","Illinois","","","Unknown","","A home burglary resulted in the theft of a CD that contained the information of over 30,000 beneficiaries.  The CD contained names, Social Security numbers, and dates of birth and was taken from the home of an accountant at an unnamed counting firm.  The three funds sued the accounting firm for $200,000 to cover the cost of credit monitoring and insurance. ","","Databreaches.net","","","2013"
"February 3, 2013","Premier Tax","BSF","INSD","","","Alabama","","","Unknown","The area of Alabama where the breach occurred is unclear.","Six people who worked in tax preparation were charged with fraud and filing false tax returns in March of 2012.  Over 1,000 false tax returns were filed between October 2009 and April 2012.  The fraudulent returns totalled more than $1.7 million.  UPDATE (01/29/2013): Two others were linked to the conspiracy and charged.  One of them was an employee of an unnamed Alabama state agency. She was able to access a state database of personal information and provide it to others in the identity theft ring.","","Databreaches.net","","","2013"
"January 28, 2013","Los Angeles County Department of Public Social Services","GOV","INSD","","Los Angeles","California","","64","132 (64 individuals had fraudulent tax returns filed)","","A dishonest employee pleaded guilty to using a Los Angeles County computer system to file fraudulent tax refunds.  The fraudulent activity occurred between July 2009 and the 2011 tax year.  The IRS found 44 pages of screen prints with the information of 132 assistance participants in the employee's home. The employee, her spouse, and three others were indicted in January of 2012.    ","","Databreaches.net","","64","2013"
"February 2, 2013","Twitter","BSO","HACK","","San Francisco","California","","","250,000 (no SSNs or financial information exposed)","","Online attackers were able to access the usernames, email addresses, session tokens, and encrypted passwords of 250,000 users.  Twitter notified affected users and told them to create a new password.  Anyone who used the same password and username or email combination for other sites is encouraged to change the password on other sites as well.UPDATE (03/11/2013): Facebook, Microsoft, and Apple were all affected by a similar breach around the same time.","","Media","","","2013"
"January 30, 2013","The New York Times","BSO","HACK","","New York","New York","","","Unknown","","The New York Times' computer system was hacked after Chinese government officials warned the Times about consequences for investigating the wealth of government family members.  The Times began monitoring its system closely on October 24 and noticed unusual activity on October 25 when an article about the wealth of a Chinese official's family was published.  The breach began on September 13 and was allowed to continue until January so that the hackers' behavior could be studied.  It appears that the passwords of every Times employee were compromised and 53 Times employees had their personal computers accessed.  The 53 employees were located outside of the United States and appear to have been the ones who may have covered the Chinese stories.","","Media","","","2013"
"December 21, 2011","United States Chamber of Commerce","NGO","HACK","","Washington","District Of Columbia","","","3,000,000 (No SSNs or financial information reported)","","Hackers in China were able to breach the computer system of the United States Chamber of Commerce.  The hackers had access to the information of roughly three million members from November 2009 to May 2010.  Though the breach was discovered in May of 2010, there is evidence that some systems were still compromised in March of 2011.  Email communications with no more than 50 of the Chambers' members were compromised. Company names, key company contacts, trade-policy documents, meeting notes, trip reports, and schedules were in the email communications.","","Media","","","2011"
"February 5, 2013","Boca Raton Regional Hospital","MED","INSD","","Boca Raton","Florida","","","Unknown","","Eight people were charged for participating in an identity theft ring.  One of the members was employed as a scheduler at Boca Raton Regional Hospital.  She passed along patient information in exchange for payments.  One member allegedly filed 57 fraudulent tax returns with the stolen information in attempt to get $306,720 in refunds.  Another member is accused of filing 75 fraudulent returns for $750,469 in refunds.UPDATE (07/30/2013): The dishonest employee was convicted of unauthorized disclosure of medical records, using stolen Social Security numbers to file fraudulent tax claims, and conspiracy to commit false claims.  She was sentenced to 18 months in prison and ordered to pay $15,795 in restitution to the IRS.  A co-defendant was sentenced to 40 months for her role in filing fraudulent tax returns and stealing patient information.","","PHIPrivacy.net","","","2013"
"February 6, 2013","Bashas'","BSR","HACK","","Chandler","Arizona","","","Unknown","The location of the breach is listed as the corporate headquarters of Bashas'","Bashas' online systems suffered an online breach.  Customers in Lake Havasu City and Pinal County who entered their credit and debit card information online have been affected.  All customers are being warned to check their payment card transactions for suspicious activity.","","Dataloss DB","","","2013"
"February 7, 2013","THORLO","BSR","HACK","","Statesville","North Carolina","","","Unknown","","Hackers were able to access customer credit card information stored on computer servers.  The cyber attack affected customers who made purchases on www.thorlo.com between November 14, 2012 and January 22, 2013.  Credit card numbers, credit card expiration dates, credit card security codes, names, and contact information were exposed. ","","California Attorney General","","","2013"
